# ----------------------------------------
# Alle websitegegevens
# Gebruikers-verkenner
# 20190101-20190408
# ----------------------------------------

Klant-ID,Sessies,Gem. sessieduur,Bouncepercentage,Opbrengst,Transacties,Doelconversieratio
393351865.1546587216,3,00:08:27,"33,33%","US$ 0,00",0,"0,00%"
399956889.1552555189,3,00:01:54,"66,67%","US$ 0,00",0,"0,00%"
400271264.1553004503,3,00:00:21,"66,67%","US$ 0,00",0,"0,00%"
426886643.1549370547,3,00:00:57,"33,33%","US$ 0,00",0,"0,00%"
436614010.1542657571,3,00:04:15,"0,00%","US$ 0,00",0,"0,00%"
447109059.1549047693,3,00:00:23,"33,33%","US$ 0,00",0,"0,00%"
4988883.1554109856,3,00:03:24,"0,00%","US$ 0,00",0,"0,00%"
558643549.1542666217,3,00:01:04,"0,00%","US$ 0,00",0,"0,00%"
609181972.1544026448,3,00:07:48,"0,00%","US$ 0,00",0,"0,00%"
626467714.1544194760,3,00:00:41,"0,00%","US$ 0,00",0,"0,00%"
665384351.1548410691,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
674461513.1552297964,3,00:08:01,"66,67%","US$ 0,00",0,"0,00%"
69185928.1547741648,3,00:02:19,"33,33%","US$ 0,00",0,"0,00%"
705327148.1550659173,3,00:01:43,"33,33%","US$ 0,00",0,"0,00%"
705398951.1554150378,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
713785035.1535740043,3,00:03:33,"33,33%","US$ 0,00",0,"0,00%"
714769898.1550643061,3,00:04:26,"33,33%","US$ 0,00",0,"0,00%"
729529158.1554110314,3,00:00:10,"66,67%","US$ 0,00",0,"0,00%"
745490193.1549231980,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
789780005.1551351753,3,00:03:35,"33,33%","US$ 0,00",0,"0,00%"
811154419.1551127891,3,00:25:12,"0,00%","US$ 0,00",0,"0,00%"
81445943.1545740365,3,00:02:33,"0,00%","US$ 0,00",0,"0,00%"
825501341.1550155811,3,00:02:47,"66,67%","US$ 0,00",0,"0,00%"
827711354.1548679026,3,00:01:21,"66,67%","US$ 0,00",0,"0,00%"
87656395.1549010189,3,00:14:10,"0,00%","US$ 0,00",0,"0,00%"
879199149.1550732874,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
879899790.1549035731,3,00:02:36,"0,00%","US$ 0,00",0,"0,00%"
906676933.1543610668,3,00:00:23,"66,67%","US$ 0,00",0,"0,00%"
910678337.1552558938,3,00:05:21,"66,67%","US$ 0,00",0,"0,00%"
927559755.1549881735,3,00:03:10,"0,00%","US$ 0,00",0,"0,00%"
937786028.1549975432,3,00:08:31,"66,67%","US$ 0,00",0,"0,00%"
941870496.1552558923,3,00:00:16,"33,33%","US$ 0,00",0,"0,00%"
954781315.1550268063,3,00:02:02,"66,67%","US$ 0,00",0,"0,00%"
985264199.1552907963,3,00:00:50,"33,33%","US$ 0,00",0,"0,00%"
